date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:49	262/262	---M--	200	added ('OK')	text/plain	date:Fri,%2020%20Oct%202023%2002:30:45%20GMT	https://crossgaincare.com.au/robots.txt		(from )
09:33:51	167962/167962	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Feb%202026%2006:30:47%20GMT	https://crossgaincare.com.au/	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/index.html	(from )
09:33:53	368292/368292	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Jan%202026%2010:10:29%20GMT	https://crossgaincare.com.au/wp-content/uploads/2024/07/disability-pic-02-.png	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-content/uploads/2024/07/disability-pic-02-.png	(from https://crossgaincare.com.au/)
09:33:53	5443/5443	---MC-	200	added ('OK')	application/json	date:Thu,%2012%20Feb%202026%2006:30:50%20GMT	https://crossgaincare.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcrossgaincare.com.au%2F	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-json/oembed/1.0/embedbb35.json	(from https://crossgaincare.com.au/)
09:33:55	5612/5612	---MC-	200	added ('OK')	text/xml	date:Thu,%2012%20Feb%202026%2006:30:52%20GMT	https://crossgaincare.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcrossgaincare.com.au%2F&format=xml	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-json/oembed/1.0/embedfab8	(from https://crossgaincare.com.au/)
09:33:56	12914/12914	---MC-	200	added ('OK')	application/rss+xml	etag:%22a47836a2f213fe053ce89d06875cc712%22	https://crossgaincare.com.au/comments/feed/	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/comments/feed/index.html	(from https://crossgaincare.com.au/)
09:33:56	92622/92622	---MC-	200	added ('OK')	application/rss+xml	etag:%22a47836a2f213fe053ce89d06875cc712%22	https://crossgaincare.com.au/feed/	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/feed/index.html	(from https://crossgaincare.com.au/)
09:33:58	2947/2947	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Dec%202025%2008:38:28%20GMT	https://crossgaincare.com.au/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.4	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-content/plugins/contact-form-7/includes/css/styles1b46.css	(from https://crossgaincare.com.au/)
09:33:58	5456/5456	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Dec%202025%2005:56:00%20GMT	https://crossgaincare.com.au/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.5	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-content/themes/hello-elementor/assets/css/reset4c8b.css	(from https://crossgaincare.com.au/)
09:33:58	5097/5097	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Dec%202025%2005:56:00%20GMT	https://crossgaincare.com.au/wp-content/themes/hello-elementor/assets/css/theme.css?ver=3.4.5	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-content/themes/hello-elementor/assets/css/theme4c8b.css	(from https://crossgaincare.com.au/)
09:33:59	7182/7182	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Dec%202025%2005:56:00%20GMT	https://crossgaincare.com.au/wp-content/themes/hello-elementor/assets/css/header-footer.css?ver=3.4.5	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-content/themes/hello-elementor/assets/css/header-footer4c8b.css	(from https://crossgaincare.com.au/)
09:34:00	54511/54511	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Jan%202026%2010:40:04%20GMT	https://crossgaincare.com.au/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.34.2	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-content/plugins/elementor/assets/css/frontend.mindba3.css	(from https://crossgaincare.com.au/)
09:34:00	1974/1974	---M--	200	added ('OK')	text/css	date:Wed,%2004%20Feb%202026%2001:31:06%20GMT	https://crossgaincare.com.au/wp-content/uploads/elementor/css/post-6646.css?ver=1770168666	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-content/uploads/elementor/css/post-6646648b.css	(from https://crossgaincare.com.au/)
09:34:01	214/214	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Jan%202026%2010:40:04%20GMT	https://crossgaincare.com.au/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.34.2	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-content/plugins/elementor/assets/css/widget-image.mindba3.css	(from https://crossgaincare.com.au/)
09:34:01	27364/27364	---M--	200	added ('OK')	text/css	date:Mon,%2002%20Feb%202026%2013:29:30%20GMT	https://crossgaincare.com.au/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.35.0	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.mind341.css	(from https://crossgaincare.com.au/)
09:34:01	198/198	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Jan%202026%2010:40:27%20GMT	https://crossgaincare.com.au/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css?ver=3.34.2	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.mindba3.css	(from https://crossgaincare.com.au/)
09:34:01	162/162	---M--	200	added ('OK')	text/css	date:Mon,%2002%20Feb%202026%2013:29:32%20GMT	https://crossgaincare.com.au/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min.css?ver=3.35.0	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-content/plugins/elementor-pro/assets/css/modules/sticky.mind341.css	(from https://crossgaincare.com.au/)
09:34:02	560/560	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Jan%202026%2010:40:04%20GMT	https://crossgaincare.com.au/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.34.2	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-content/plugins/elementor/assets/css/widget-heading.mindba3.css	(from https://crossgaincare.com.au/)
09:34:02	5110/5110	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Jan%202026%2010:40:04%20GMT	https://crossgaincare.com.au/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.34.2	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-content/plugins/elementor/assets/css/widget-social-icons.mindba3.css	(from https://crossgaincare.com.au/)
09:34:02	6713/6713	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Jan%202026%2010:40:02%20GMT	https://crossgaincare.com.au/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min.css?ver=3.34.2	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.mindba3.css	(from https://crossgaincare.com.au/)
09:34:03	10255/10255	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Jan%202026%2010:40:04%20GMT	https://crossgaincare.com.au/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.34.2	C:/Users/KONZA-VDI/Desktop/crossgaincare/crossgaincare.com.au/wp-content/plugins/elementor/assets/css/widget-icon-list.mindba3.css	(from https://crossgaincare.com.au/)
